time,voltage,frequency
0,123.53,59.963
1,120.8,59.976
2,121.96,60.11
3,124.48,60.066
4,123.74,60.064
5,118.05,59.838
6,121.9,59.998
7,119.7,59.926
8,119.79,60.028
9,120.82,59.99
10,120.29,60.091
11,122.91,60.032
12,121.52,60.079
13,120.24,59.953
14,120.89,59.906
15,120.67,59.959
16,122.99,59.998
17,119.59,60.038
18,120.63,60.226
19,118.29,59.996
20,114.89,59.904
21,121.31,59.965
22,121.73,59.954
23,118.52,60.048
24,124.54,59.846
25,117.09,60.006
26,120.09,60.016
27,119.63,60.023
28,123.07,59.94
29,122.94,59.976
30,120.31,59.858
31,120.76,59.951
32,118.22,59.946
33,116.04,60.042
34,119.3,59.884
35,120.31,60.078
36,122.46,60.149
37,122.4,59.793
38,119.23,60.043
39,119.4,60.068
40,117.9,59.936
41,117.16,59.96
42,116.59,59.987
43,123.9,59.97
44,118.98,59.969
45,119.12,59.832
46,117.49,60.115
47,121.55,60.108
48,116.77,59.919
49,119.57,59.853
50,118.21,60.052
51,120.77,59.942
52,118.98,60.014
53,117.64,59.968
54,119.94,60.069
55,120.86,60.069
56,120.13,59.927
57,120.6,59.862
58,118.73,59.842
59,119.27,60.061
60,118.66,59.881
61,119.28,59.949
62,118.37,59.94
63,116.55,59.995
64,120.35,59.806
65,119.2,60.019
66,116.74,60.052
67,120.93,60.009
68,118.19,59.969
69,120.1,60.01
70,121.46,60.04
71,120.26,59.723
72,122.28,60.196
73,117.53,60.039
74,120.8,59.935
75,118.63,59.961
76,118.26,60.049
77,118.84,59.988
78,119.38,59.797
79,120.11,60.206
80,117.67,59.989
81,121.8,60.102
82,120.93,59.931
83,116.93,60.154
84,122.98,60.029
85,123.79,60.061
86,122.36,59.895
87,119.64,60.121
88,117.86,60.069
89,122.11,60.13
90,119.19,59.937
91,122.44,59.952
92,120.42,60.23
93,121.95,59.894
94,120.71,59.986
95,121.41,60.114
96,120.02,60.01
97,123.57,60.058
98,120.25,59.96
99,120.8,60.037
100,123.77,59.869
101,117.3,60.166
102,117.46,59.988
103,121.94,59.932
104,117.65,60.067
105,123.89,59.954
106,119.17,59.867
107,118.51,59.865
108,123.85,60.069
109,122.96,59.984
110,123.74,59.987
111,121.81,60.108
112,118.28,59.887
113,123.82,59.927
114,119.46,59.962
115,121.6,60.009
116,121.89,59.996
117,119.69,59.971
118,121.23,59.994
119,121.84,59.989
120,120.75,59.928
121,117.8,59.919
122,120.6,60.027
123,122.65,59.911
124,118.61,59.884
125,119.7,59.969
126,119.13,59.984
127,123.7,60.226
128,121.34,59.93
129,120.81,60.094
130,118.46,60.075
131,121.08,59.881
132,118.65,60.077
133,120.06,59.882
134,118.73,59.734
135,121.35,60.061
136,121.15,59.824
137,119.58,60.045
138,120.79,59.932
139,117.81,60.166
140,117.02,60.107
141,120.88,59.955
142,120.33,59.931
143,121.27,59.879
144,124.77,59.956
145,121.89,59.972
146,118.17,59.964
147,122.23,60.016
148,117.37,60.058
149,119.08,60.035
150,119.86,59.924
151,123.43,59.856
152,118.51,60.136
153,118.35,59.931
154,119.8,59.935
155,118.67,59.948
156,122.25,59.816
157,117.84,59.952
158,117.71,59.952
159,119.12,60.062
160,119.0,60.07
161,123.86,60.0
162,121.9,60.093
163,120.18,60.034
164,117.55,59.998
165,121.69,60.016
166,118.0,59.981
167,116.91,59.961
168,122.38,59.973
169,120.63,59.887
170,121.84,60.028
171,120.64,59.901
172,121.71,60.084
173,118.7,59.975
174,117.93,60.005
175,121.36,60.049
176,118.39,60.064
177,118.62,59.843
178,119.09,59.979
179,120.03,60.088
180,119.29,59.83
181,117.25,60.039
182,118.71,59.774
183,115.55,59.898
184,121.25,60.004
185,116.8,59.834
186,117.79,59.901
187,120.1,59.853
188,118.52,60.165
189,123.09,60.016
190,117.41,60.057
191,120.53,59.978
192,119.92,59.965
193,117.66,59.838
194,121.05,59.971
195,119.66,59.924
196,121.54,60.086
197,121.65,60.114
198,124.33,60.147
199,122.67,60.085
